,ID_ENTIDAD,ENTIDAD,PUNTAJE_PROMEDIO,ERRORESTANDARPROMEDIO,DESVIACION,PORCENTAJE_INSUFICIENTE,PORCENTAJE_MINIMO,PORCENTAJE_SATISFACTORIO,PORCENTAJE_AVANZADO,N,ano,grado,area
0,92,Malambo,296,"1,939",64,22,51,16,12,1170,2009,Grado5,Ciencias
1,64,Floridablanca,332,"0,969",72,9,44,30,17,2686,2009,Grado5,Ciencias
2,71,Cali,313,"0,204",68,14,49,25,12,29647,2009,Grado5,Ciencias
3,38,Guainía,276,"2,806",59,27,55,15,3,353,2009,Grado5,Ciencias
4,20,Manizales,314,"0,816",67,12,50,28,10,3620,2009,Grado5,Ciencias
5,47,Villavicencio,315,"0,816",70,13,49,26,12,5193,2009,Grado5,Ciencias
6,85,Sabaneta,333,"2,194",68,10,41,32,17,579,2009,Grado5,Ciencias
7,1,Amazonas,265,"1,837",64,30,55,12,4,864,2009,Grado5,Ciencias
8,49,Pasto,307,"0,561",66,14,54,23,9,6891,2009,Grado5,Ciencias
9,87,Mosquera,336,"1,429",73,8,45,29,19,991,2009,Grado5,Ciencias
10,94,Yopal,299,"1,224",69,17,54,22,7,1827,2009,Grado5,Ciencias
11,52,Cúcuta,310,"0,612",68,14,51,24,11,8009,2009,Grado5,Ciencias
12,17,Duitama,356,"1,582",69,5,34,36,25,1404,2009,Grado5,Ciencias
13,58,Dosquebradas,310,"1,276",68,12,53,26,10,1897,2009,Grado5,Ciencias
14,67,Sincelejo,294,"0,969",67,19,52,21,8,3190,2009,Grado5,Ciencias
15,82,Piedecuesta,311,"1,276",70,14,49,25,12,1544,2009,Grado5,Ciencias
16,176,Valle del Cauca,303,"0,153",68,18,50,22,10,60358,2009,Grado5,Ciencias
17,118,Caquetá,292,"0,816",65,19,56,20,6,5432,2009,Grado5,Ciencias
18,105,Antioquia,294,"0,255",67,19,52,21,8,66301,2009,Grado5,Ciencias
19,113,Bolívar,271,"0,459",66,32,49,14,6,23831,2009,Grado5,Ciencias
20,63,Barrancabermeja,283,"0,969",69,26,50,17,7,2382,2009,Grado5,Ciencias
21,79,Quibdó,261,"1,48",67,34,50,12,4,1343,2009,Grado5,Ciencias
22,39,Guaviare,286,"2,653",66,21,56,18,5,621,2009,Grado5,Ciencias
23,127,Chocó,259,"0,816",64,36,48,12,4,4161,2009,Grado5,Ciencias
24,4,Bello,306,"0,765",67,15,51,24,10,4304,2009,Grado5,Ciencias
25,90,Apartadó,277,"1,633",66,26,54,16,4,1513,2009,Grado5,Ciencias
26,37,Soacha,316,"0,663",66,11,51,27,11,5503,2009,Grado5,Ciencias
27,10,Soledad,312,"0,918",67,14,49,25,12,4651,2009,Grado5,Ciencias
28,7,Turbo,254,"1,276",63,36,51,10,2,1954,2009,Grado5,Ciencias
29,59,San Andrés,276,"2,092",69,28,53,14,6,584,2009,Grado5,Ciencias
30,76,Tuluá,305,"0,714",71,17,50,23,10,2933,2009,Grado5,Ciencias
31,75,Palmira,302,"0,561",67,17,52,23,8,4445,2009,Grado5,Ciencias
32,35,Fusagasugá,311,"1,531",69,13,52,26,10,1485,2009,Grado5,Ciencias
33,65,Girón,315,"1,888",70,12,51,26,11,1550,2009,Grado5,Ciencias
34,28,Valledupar,309,"0,816",72,18,47,21,14,4830,2009,Grado5,Ciencias
35,3,Medellín,298,"0,51",68,19,52,21,9,23742,2009,Grado5,Ciencias
36,89,Facatativá,314,"1,173",65,12,51,26,11,1417,2009,Grado5,Ciencias
37,60,Santa Marta,295,"0,765",69,20,50,21,9,5176,2009,Grado5,Ciencias
38,81,Jamundí,299,"1,633",64,19,50,22,9,968,2009,Grado5,Ciencias
39,154,Norte de Santander,307,"0,408",68,15,51,23,11,15814,2009,Grado5,Ciencias
40,163,Quindio,294,"0,663",69,19,53,21,7,5732,2009,Grado5,Ciencias
